         80910166 function calls (80870843 primitive calls) in 69.643 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   159277    0.512    0.000    0.512    0.000 {method 'close' of '_io.TextIOWrapper' objects}
   159308    0.397    0.000    0.397    0.000 {built-in method numpy.array}
   159276    0.127    0.000    0.386    0.000 <__array_function__ internals>:2(squeeze)
   159276    0.278    0.000    0.370    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:729(_getconv)
   159277    0.164    0.000    0.354    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/_bootlocale.py:33(getpreferredencoding)
  1114932    0.347    0.000    0.347    0.000 {method 'split' of 're.Pattern' objects}
  1592773    0.341    0.000    0.341    0.000 {method 'split' of 'str' objects}
   318552    0.128    0.000    0.335    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:1024(<genexpr>)
        5    0.020    0.004    0.324    0.065 /voyager/projects/xgao/LivSim-LTX/LivSim_Processing/event.py:362(Year)
   796380    0.248    0.000    0.312    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/posixpath.py:131(splitdrive)
  3185520    0.302    0.000    0.302    0.000 {method 'lstrip' of 'str' objects}
   159276    0.064    0.000    0.290    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/re.py:250(compile)
3522100/3522054    0.276    0.000    0.276    0.000 {built-in method builtins.len}
   159276    0.123    0.000    0.255    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/posixpath.py:60(isabs)
   159276    0.255    0.000    0.255    0.000 {built-in method posix.getcwd}
  1274208    0.244    0.000    0.244    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/_iotools.py:11(_decode_line)
  1114935    0.234    0.000    0.234    0.000 {method 'startswith' of 'str' objects}
   159276    0.153    0.000    0.225    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/re.py:289(_compile)
  2389143    0.215    0.000    0.215    0.000 {built-in method posix.fspath}
   955656    0.211    0.000    0.211    0.000 {method 'rfind' of 'str' objects}
   159276    0.097    0.000    0.207    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/re.py:270(escape)
   159277    0.190    0.000    0.190    0.000 {built-in method _locale.nl_langinfo}
   637122    0.172    0.000    0.172    0.000 {built-in method __new__ of type object at 0x5567e541cac0}
   477831    0.171    0.000    0.171    0.000 {built-in method _codecs.utf_8_decode}
   477828    0.110    0.000    0.168    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/posixpath.py:41(_get_sep)
  1114932    0.166    0.000    0.166    0.000 {method 'strip' of 'str' objects}
   159276    0.129    0.000    0.153    0.000 /voyager/projects/xgao/.conda/envs/graft/lib/python3.8/site-packages/numpy/lib/npyio.py:916(flatten_dtype_internal)
   639464    0.152    0.000    0.152    0.000 {method 'get' of 'dict' objects}
